CitationId,CitationShortDescription,Region,LocationDescription,Country,HabitatType,Lat,Long,Elev,ElevRangeMax,InteractionType,InteractionTags,BatOrder,BatFamily,BatGenus,BatSpecies,Plant/Arthropod,ObjectClass,ObjectOrder,ObjectFamily,ObjectGenus,ObjectSpecies
1,"Acosta y Lara, E. 1950",South America,,Uruguay,Forest,,,,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Passifloraceae,Passiflora,
1,"Acosta y Lara, E. 1950",South America,,Uruguay,Forest,,,,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Myrtaceae,Eugenia,
62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plant,,,Icacinaceae,Emmotum,Emmotum nitens
62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Consumption,"Primary  , Leaf",Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plant,,,Solanaceae,Solanum,Solanum lycocarpum
2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,"Primary  , Flower",Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Carnegiea,Carnegiea gigantea
2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Asparagaceae,Agave,Agave schottii
3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Asparagaceae,Agave,Agave parryi
3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,"Primary  , Flower",Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Stenocereus,Stenocereus thurberi
8,"Andrade, J. C. d. & A. G. d. Andrade. 1983",,,,,,,,,Seed Dispersal,"Primary  , Seed",Chiroptera,,,,Plant,,,Sapotaceae,Pouteria,Pouteria psammophila
9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus arboreus
9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus santamarinae
9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus wrightii
9,"Areces-Mallea, A. E. 2002",,,Cuba,,,,,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Phyllonycteris,Phyllonycteris poeyi,Plant,,,Cactaceae,Leptocereus,Leptocereus arboreus
