Short Name,Last,First,Middle,Suffix
Acosta y Lara,Acosta y Lara,Eduardo,F,
Albuja,Albuja,L,,
Alcorn,Alcorn,Stanley,M,
Alonso-Mejía,Alonso-Mejía,Alfonso,,
Altringham,Altringham,John,D,
Alvarez,Alvarez,Javier,,
Alverson,Alverson,William,S,
Anderson,Anderson,Pamela,K,
Aranguren,Aranguren,Jaime,O,
Arce,Arce,J,,
Areces-Mallea,Areces-Mallea,Alberto,E,
Arends,Arends,Alexis,,
Arias-Cóyotl,Arias-Cóyotl,Ethel,,
Arita,Arita,Hector,T,
Arizaga,Arizaga,Santiago,,
Arizmendi,Arizmendi,Maria,d C,
Armella,Armella,M,A,
Arroyo-Cabrales,Arroyo-Cabrales,Joaquin,,
Ascorra,Ascorra,Cesar,F,
August,August,Peter,V,
Baker(H),Baker,Herbert,G,
Baker(I),Baker
Pond,Pond,C,M,
Potts,Potts,M,,
Prance,Prance,Ghillean,T,
Prather,Prather,L,Alan,
Prévost,Prévost,Marie-Françoise,,
Puig,Puig,H,,
Queiróz,Queiróz,A,L,
Quesada,Quesada,Mauricio,,
Ramírez-P,Ramírez-P,Nelson,,
Raw,Raw,A,,
Reid,Reid,William,H,
Reis,Reis,Nelio,Roberto dos,
Rengifo,Rengifo,Carlos,,
Reyer,Reyer,H,U,
Rezende,Rezende,J,L P,
Rieger,Rieger,James,F,
Rodríguez,Rodríguez,A,,
Rojas,Rojas,J,,
Rojas-Martinez,Rojas-Martinez,Alberto,,
Romo,Romo,Monica,,
Rosas-Guerrero,Rosas-Guerrero,Victor,,
Rosell,Rosell,O,,
Roth,Roth,B,S,
Ruiz,Ruiz,Adriana,,
Ruiz-Zapata,Ruiz-Zapata,Thirza,,
Runkle,Runkle,James,R,
Ruschi,Ruschi,A,,
Sabatier,Sabatier,Daniel,,
Saborío,Saborío,G,,
Sahley,Sahley,Catherine,T,
Salas,Salas,D,,
Salazar,Salazar,K,A O,
Sánchez-Cordero,Sánchez-Cordero,V,,
Santos,Santos,M,,
Savolainens,Savolainens,V,,
Sawyer,Sawyer,W,B,
Sazima(I),Sazima(I),Ivan,,
Sazima(M),Sazima(M),Marlies,,
Schittini,Schittini,G,M,
Schnitzler,Schnitzler,H,U,
Schwager,Schwager,J,,
Schwassmann,Schwassmann,H,O,
Scogin,Scogin,Ron,,
Shanahan,Shanahan,Mike,,
Silva,Silva,W,R,
Silva-Taboada,Silva-Taboada,Gilberto,,
Simmons,Simmons,Nancy,B,
Slauson,Slauson,Liz,A,
Smith(J),Smith(J),J,D,
Smith(R ),Smith(R ),Robert,L,
Snow,Snow,Jennifer L,,
So,So,Samson,,
Sobrevila,Sobrevila,Claudia,,
Solari-T.,Solari-T.,Sergio,,
Soriano,Soriano,Pascual,J,
Sosa,Sosa,M,,
Spichiger,Spichiger,R,,
Starrett,Starrett,Andrew,,
Stashko,Stashko,E,R,
Steiner,Steiner,Kim,E,
Sternberg,Sternberg,Leonel,da S L,
Stoleson,Stoleson,S,,
Stone,Stone,Donald,E,
Stoner,Stoner,Kathryn,E,
Storz,Storz,J,F,
Stroo,Stroo,A,,
Suarez,Suarez,Andrew,V,
Taddei,Taddei,v,A,
Tamsitt,Tamsitt,J,R,
Teixeira,Teixeira,S,D,
Tellez,Tellez,Guillermo,,
Thies,Thies,Wibke,,
Thomas,Thomas,Donald,W,
Torres,Torres,A,,
Trejo,Trejo,Lourdes,,
Trijo,Trijo,Jose,Roberto,
Tschapka,Tschapka,Marco,,
Tuomisto,Tuomisto,H,,
Turner,Turner,M,,
Tuttle,Tuttle,M,D,
Uhl,Uhl,Christopher,,
Uieda,Uieda,Wilson,,
Valiente-Banuet,Valiente-Banuet,Alfonso,,
van Bradshaw,van Bradshaw,Paul,A,
van der Pijl,van der Pijl,L,,
van Roosmalen,van Roosmalen,Marc,G M,
Varassin,Varassin,Isabela,G,
Vasconcellos-Neto,Vasconcellos-Neto,Joao,,
Vásquez-Yanes,Vásquez-Yanes,Carlos,,
Vega,Vega,E,,
Villa Cornejo,Villa Cornejo,M,,
Villa-R,Villa-R,B,,
Vogel,Vogel,Stefan,,
Voigt,Voigt,C,C,
von Helversen(D),von Helversen(D),Dagmar,,
von Helversen(O),von Helversen(O),Otto,,
Voss,Voss,Robert,S,
Waring,Waring,Gwendolyn,L,
Webster,Webster,W,David,
Wendeln,Wendeln,Marcia,C,
Westra,Westra,L,Y T,
Wetterer,Wetterer,Andrea,L,
Wilkinson,Wilkinson,G,S,
Williams,Williams,C,F,
Willig,Willig,Michael,R,
Willis,Willis,K,B,
Wilson,Wilson,Don,E,
Winkelmann,Winkelmann,John,R,
Zona,Zona,Scott,,
Zortéa,Zortéa,M,,
Zusi,Zusi,Richard,L,
