Citation ID,Citation Short Description,Full Text,Authors,Year,Title,Publication Title,Publication Type,Publisher,Volume,Issue,Pages
1,"Acosta y Lara, E. 1950","Acosta y Lara, E. 1950. Quirópteros de Uruguay. Comunicaciones Zoologicas del Museo de Historia Natural de Montevideo III: 1-74.",Acosta y Lara,1950,Quirópteros de Uruguay,Comunicaciones Zoologicas del Museo de Historia Natural de Montevideo,--Pub-Type-,--Publisher-,--Volume-,,1-74
2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961","Alcorn, S. M., S. E. McGregor & G. Olin. 1961. Pollination of saguaro cactus by doves, nectar-feeding bats and honey bees. Science 133: 1594-1595.","Alcorn, McGregor, Olin",1961,"Pollination of saguaro cactus by doves, nectar-feeding bats and honey bees",Science,--Pub-Type-,--Publisher-,--Volume-,133,1594-1595
3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962","Alcorn, S. M., S. E. McGregor & G. Olin. 1962. Pollination requirements of the organ pipe cactus. Cactus and Succulent Journal of the Cactus and Succulent Society of America 34: 134-138.","Alcorn, McGregor, Olin",1962,Pollination requirements of the organ pipe cactus,Cactus and Succulent Journal of the Cactus and Succulent Society of Am,--Pub-Type-,--Publisher-,--Volume-,34,134-138
8,"Andrade, J. C. d. & A. G. d. Andrade. 1983","de Andrade, J. C. & A. G. de Andrade. 1983. Pouteria psammophila var. xestophylla (Miq. & Eichl.) Baehni (Sapotaceae) no litoral do Rio de Janeiro; uma alerta de extinção. Atas Soc. Bot. Brasil 1-8.","de Andrade(J), de Andrade(A)",1983,Pouteria psammophila var. xestophylla (Miq. & Eichl.) Baehni (Sapotaceae) no litoral do Rio de Janeiro; uma alerta de extinção.,Atas Soc. Bot. Brasil,--Pub-Type-,--Publisher-,--Volume-,--Issue-,1-8
9,"Areces-Mallea, A. E. 2002","Areces-Mallea, A. E. 2002. Leptocereus (A. Berger) Britton and Rose: a monographic study of a West Indian genus of Cactaceae (Cactoideae). Ph.D. Dissertation. City University of New York, New York.",Areces-Mallea,2002,Leptocereus (A. Berger) Britton and Rose: a monographic study of a West Indian genus of Cactaceae (Cactoideae),Ph.D. Dissertation,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006","Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006. Effectiveness of bats as pollinators of Stenocereus stellatus (Cactaceae) in wild, managed in situ, and cultivated populations in La Mixteca Baja, central Mexico. American Journal of Botany. 93: 1675-1683.","Arias-Cóyotl, Stoner, Casas",2006,"Effectiveness of bats as pollinators of Stenocereus stellatus (Cactaceae) in wild, managed in situ, and cultivated populations in La Mixteca Baja, central Mexico",American Journal of Botany,--Pub-Type-,--Publisher-,--Volume-,93,1675-1683
13,"Arizaga, S. et al. 2000b","Arizaga, S., E. Ezcurra, E. Peters, F. R. de Arellano & E. Vega. 2000b. Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. II. The role of pollinators. American Journal of Botany 87: 1011-1017.","Arizaga, Ezcurra, Peters, de Arellano, Vega",2000,Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. II. The role of pollinators,American Journal of Botany,--Pub-Type-,--Publisher-,--Volume-,87,1011-1017
16,"Ascorra, C. F. & D. E. Wilson. 1992","Ascorra, C. F. & D. E. Wilson. 1992. Bat frugivory and seed dispersal in the Amazon, Loreto, Peru. Publicaciones del Museo de Historia Natural, Universidad Nacional Mayor de San Marcos, Serie A Zoologia","Ascorra, Wilson",1992,"Bat frugivory and seed dispersal in the Amazon, Loreto, Peru","Publicaciones del Museo de Historia Natural, Universidad Nacional Mayo",--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993","Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993. The bats from Jenaro Herrera, Loreto, Peru. Mammalia 57: 548-550.","Ascorra, Gorchov, Cornejo",1993,"The bats from Jenaro Herrera, Loreto, Peru",Mammalia,--Pub-Type-,--Publisher-,--Volume-,57,548-550
18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989","Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989. Observaciones en aves y murciélagos relacionados con la dipsersión de semillas en el valle del Palcazú, selva central del Perú. Boletin de Lima 62: 91-95.","Ascorra, Gorchov, Cornejo",1989,"Observaciones en aves y murciélagos relacionados con la dipsersión de semillas en el valle del Palcazú, selva central del Perú",Boletin de Lima,--Pub-Type-,--Publisher-,--Volume-,62,91-95
