Short Name,Last,First,Middle,Suffix
Acosta y Lara,Acosta y Lara,Eduardo,F,
Albuja,Albuja,L,,
Alcorn,Alcorn,Stanley,M,
Alonso-Mejía,Alonso-Mejía,Alfonso,,
Altringham,Altringham,John,D,
Alvarez,Alvarez,Javier,,
Alverson,Alverson,William,S,
Anderson,Anderson,Pamela,K,
Aranguren,Aranguren,Jaime,O,
Arce,Arce,J,,
Arends,Arends,Alexis,,
Arias-Cóyotl,Arias-Cóyotl,Ethel,,
Arita,Arita,Hector,T,
Arizaga,Arizaga,Santiago,,
Arizmendi-del-Coro,Arizmendi-del-Coro,Maria,,
Armella,Armella,M,A,
Arroyo-Cabrales,Arroyo-Cabrales,Joaquin,,
Ascorra,Ascorra,Cesar,F,
August,August,Peter,V,
Baker(H),Baker,Herbert,G,
Baker(I),Baker,I,,
Baker(R),Baker,Robert,J,
Balseiro,Balseiro,F,,
Banack,Banack,Sandra,A,
Bandou,Bandou,E,,
Barquez,Barquez,R,M,
Barthlott,Barthlott,W,,
Beck,Beck,Harald,,
Becvar,Becvar,J,E,
Bergallo,Bergallo,H,G,
Bernard,Bernard,Enrico,,
Bianchi,Bianchi,M,B,
Bianconi,Bianconi,Greg,V,
Bizerril,Bizerril,Marcelo,X,
Blanchard,Blanchard,F,,
Bloedel,Bloedel,P,,
Bolten,Bolten,A,B,
Bonaccorso,Bonaccorso,Frank,J,
Bonin,Bonin,M,R,
Borchov,Borchov,D,L,
Bradbury,Bradbury,Jack,W,
Breuil(A),Breuil(A),A,,
Breuil(M),Breuil(M),M,,
Brosset,Brosset,A,,
Buchmann,Buchmann,S,L,
Burch,Burch,D,,
Búrquez,Búrquez,Alberto,,
Butanda-Cervera,Butanda-Cervera,A,,
Buzato,Buzato,Silvana,,
Cáceres,Cáceres,N,C,
Cadena,Cadena,A,,
Camilo,Camilo,Greg,R,
Caron,Caron,H,,
Casas,Casas,Alejandro,,
Cavelier,Cavelier,J,,
Charles-Dominique,Charles-Dominique,Pierre,,
Chautems,Chautems,A,,
Chevallier,Chevallier,M,H,
Chiarello,Chiarello,A,G,
Clark(H),Clark(H),Howard,,
Clark(K),Clark(K),Kathleen,,
Cloutier,Cloutier,Danielle,,
Coates-Estrada,Coates-Estrada,Rosamond,,
Cockle,Cockle,Anya,,
Cockrum,Cockrum,E,Lendell,
Coelho,Coelho,D,C,
Compton,Compton,Stephen,G,
Conceição,Conceição,P,N da,
Condon,Condon,M,A,
Cooper,Cooper,Howard,M,
Corlett,Corlett,Richard,,
Cornejo,Cornejo,F,,
Correa,Correa,N,,
Cort,Cort,R,,
Cruden,Cruden,R,W,
Cuatrecasas,Cuatrecasas,Jose,,
Cunningham,Cunningham,Saul,A,
da Silva,da Silva,Shirley S,P,
Dalquest,Dalquest,W,W,
Davila,Davila,Patricia,,
de Aguiar,de Aguiar,Ludmilla,M S,
de Albuquerque,de Albuquerque,S,T,
de Arellano,de Arellano,F,R,
de Carvalho,de Carvalho,C,T,
de Enrech,de Enrech,Nereida,X,
de Figueiredo,de Figueiredo,R,A,
de Foresta,de Foresta,H,,
de Nevers,de Nevers,Greg,,
DeFillips,DeFillips,Robert,,
Degen,Degen,Bernd,,
Delaval,Delaval,Marguerite,,
Diaz,Diaz,C,A,
Dinerstein,Dinerstein,Eric,,
Dobat,Dobat,K,,
Dominguez-Canseco,Dominguez-Canseco,L,,
Dressler,Dressler,Stefan,,
Dunphy,Dunphy,Brian,K,
Eguiarte,Eguiarte,Luis,,
Ehle,Ehle,C,P,
Engriser,Engriser,Elizabeth,M,
Erard,Erard,C,,
Estrada,Estrada,Alejandro,,
