Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Object Kingdom,Object Phylum,Object Class,Object Order,Object Family,Object Genus,Object Species
C: done 12/28,"T:done. No digital copy, but data taken from EndNote",,Done,,Primary  ,1,"Acosta y Lara, E. 1950",South America,Uruguay-Forest,Uruguay,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plantae,,,,Passifloraceae,Passiflora,
C: done 12/28,"T:done. No digital copy, but data taken from EndNote",,Done,,Primary  ,1,"Acosta y Lara, E. 1950",South America,Uruguay-Forest,Uruguay,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plantae,,,,Myrtaceae,Eugenia,
C: done 12/28,"T:done. Name and coordinates were given, elevation calculated by mapping the site",,Done,,Primary  ,62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plantae,,,,Icacinaceae,Emmotum,Emmotum nitens
C: done 12/28,"T:done. Name and coordinates were given, elevation calculated by mapping the site",,Done,,Primary  ,62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Consumption,Leaf,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plantae,,,,Solanaceae,Solanum,Solanum lycocarpum
C: done 12/28,"T:done. Only name of site was given, coord and elevation here are default values for Tucson",,Done,,Primary  ,2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plantae,,,,Cactaceae,Carnegiea,Carnegiea gigantea
C: done 12/28,"T:done. Only name of site was given, coord and elevation here are default values for Tucson",,Done,,Primary  ,2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plantae,,,,Asparagaceae,Agave,Agave schottii
C: done 12/28,"T:done. Only name of site was given, coord and elevation here are default values for Tucson",,Done,,Primary  ,3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plantae,,,,Asparagaceae,Agave,Agave parryi
C: done 12/28,"T:done. Only name of site was given, coord and elevation here are default values for Tucson",,Done,,Primary  ,3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plantae,,,,Cactaceae,Stenocereus,Stenocereus thurberi
Portug. Find pdf. C could not find the hard copy,,,,,Primary  ,8,"Andrade, J. C. d. & A. G. d. Andrade. 1983",,,,,,,,,Seed Dispersal,Seed,Chiroptera,,,,Plantae,,,,Sapotaceae,Pouteria,Pouteria psammophila
Need to find thesis online to get actual location data. We only have pages 344-345 ,I couldn't find full text. I'll check back later,,,,Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plantae,,,,Cactaceae,Leptocereus,Leptocereus arboreus
Need to find thesis online to get actual location data. We only have pages 344-345 ,I couldn't find full text. I'll check back later,,,,Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plantae,,,,Cactaceae,Leptocereus,Leptocereus santamarinae
Need to find thesis online to get actual location data. We only have pages 344-345 ,I couldn't find full text. I'll check back later,,,,Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plantae,,,,Cactaceae,Leptocereus,Leptocereus wrightii
Need to find thesis online to get actual location data. We only have pages 344-345 ,I couldn't find full text. I'll check back later,,,,Primary  ,9,"Areces-Mallea, A. E. 2002",,Cuba-Unspecified,Cuba,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllonycteris,Phyllonycteris poeyi,Plantae,,,,Cactaceae,Leptocereus,Leptocereus arboreus
Good. This is all correct,"T:done. Name of site and elevation were given. Coordinates were calculated online. Habitat desribed as: Stenocereus stellatus is native to tropical dry forest and thorny scrub, however cultivated, managed and wild populations were studied.",,Done,,Primary  ,10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006",North America,"Chinango, Oaxaca",Mexico,Forest,18.106086,-97.75541,1600,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plantae,,,,Cactaceae,Stenocereus,Stenocereus stellatus
Good. This is all correct,T:done. Name of site and elevation were given. Coordinates were calculated online,,Done,,Primary  ,10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006",North America,"Chinango, Oaxaca",Mexico,Forest,18.106086,-97.75541,1600,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plantae,,,,Cactaceae,Stenocereus,Stenocereus stellatus
Good. This is all correct,T:done. Name of site and elevation were given. Coordinates were calculated online,,Done,,Primary  ,10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006",North America,"Chinango, Oaxaca",Mexico,Forest,18.106086,-97.75541,1600,,Pollination,Flower,Chiroptera,Phyllostomidae,Choeronycteris,Choeronycteris mexicana,Plantae,,,,Cactaceae,Stenocereus,Stenocereus stellatus
Good. This is all correct,"T:done. Site name and coordinates were given, elevation was calculated by mapping the site.",,Done,,Primary  ,13,"Arizaga, S. et al. 2000b",North America,"Field Laboratory of UNAM's Institute of Ecology, Zapotitlan Salinas ",Mexico,Desert,18.3292323,-97.4746759,1500,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plantae,,,,Asparagaceae,Agave,Agave macroacantha
Good. This is all correct,"T:done. Site name and coordinates were given, elevation was calculated by mapping the site.",,Done,,Primary  ,13,"Arizaga, S. et al. 2000b",North America,"Field Laboratory of UNAM's Institute of Ecology, Zapotitlan Salinas ",Mexico,Desert,18.3292323,-97.4746759,1500,,Pollination,Flower,Chiroptera,Phyllostomidae,Choeronycteris,Choeronycteris mexicana,Plantae,,,,Asparagaceae,Agave,Agave macroacantha
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plantae,,,,Urticaceae,Cecropia,Cecropia membranacea
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plantae,,,,Urticaceae,Cecropia,Cecropia membranacea
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plantae,,,,Hypericaceae,Vismia,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Araceae,Anthurium,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Hypericaceae,Vismia,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Urticaceae,Cecropia,Cecropia distachya
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Urticaceae,Cecropia,Cecropia ficifolia
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Piperaceae,Piper,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Moraceae,Ficus,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Piperaceae,Piper,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Urticaceae,Cecropia,Cecropia ficifolia
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Moraceae,Ficus,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plantae,,,,Solanaceae,Solanum,Solanum lanceolatum
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plantae,,,,Clusiaceae,Havetiopsis,Havetiopsis flavida
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plantae,,,,Moraceae,Ficus,
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma magnirostrum,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plantae,,,,Piperaceae,Piper,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Piperaceae,Piper,
