Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species
Primary  ,1,"Acosta y Lara, E. 1950",South America,,Uruguay,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Passifloraceae,Passiflora,
Primary  ,1,"Acosta y Lara, E. 1950",South America,,Uruguay,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Myrtaceae,Eugenia,
Primary  ,62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plant,,,Icacinaceae,Emmotum,Emmotum nitens
Primary  ,62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Consumption,Leaf,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plant,,,Solanaceae,Solanum,Solanum lycocarpum
Primary  ,2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Carnegiea,Carnegiea gigantea
Primary  ,2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Asparagaceae,Agave,Agave schottii
Primary  ,3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Asparagaceae,Agave,Agave parryi
Primary  ,3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Stenocereus,Stenocereus thurberi
Secondary  ,8,"Andrade, J. C. d. & A. G. d. Andrade. 1983",,,,,,,,,Seed Dispersal,Seed,Chiroptera,,,,Plant,,,Sapotaceae,Pouteria,Pouteria psammophila
Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus arboreus
Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus santamarinae
